id,type,year,authors_org,title,venue,url,relevance
REF-027,paper,2024,Wu et al.,Safeguarding Blockchain Ecosystem: Understanding and Detecting Attack Transactions on Cross-chain Bridges,arXiv,https://arxiv.org/abs/2410.14493,"Incidentes, patrones y detección de ataques cross-chain."
REF-028,specification,2024,OASIS,STIX Version 2.1,OASIS Open,https://docs.oasis-open.org/cti/stix/v2.1/stix-v2.1.html,Intercambio estructurado de inteligencia de amenazas.
REF-029,standard,2023,FIRST,Common Vulnerability Scoring System Version 4.0,FIRST,https://www.first.org/cvss/v4.0/,Referencia de severidad técnica; CSPTF añade dimensiones económicas y sistémicas.
REF-030,framework,2026,OpenSSF,Supply-chain Levels for Software Artifacts (SLSA),OpenSSF,https://slsa.dev/,Procedencia e integridad de artefactos.
REF-031,standard,2026,OWASP Foundation,CycloneDX Specification,OWASP,https://cyclonedx.org/specification/overview/,SBOM y transparencia de componentes.
REF-032,standard,2021,FATF,Updated Guidance for a Risk-Based Approach to Virtual Assets and VASPs,FATF,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Guidance-rba-virtual-assets-2021.html,AML/CFT y obligaciones de VASP.
REF-033,regulation,2023,European Union,Regulation (EU) 2023/1114 on Markets in Crypto-assets (MiCA),EUR-Lex,https://eur-lex.europa.eu/eli/reg/2023/1114/oj,Requisitos regulatorios para criptoactivos y proveedores.
REF-034,regulation,2022,European Union,Regulation (EU) 2022/2554 on digital operational resilience for the financial sector (DORA),EUR-Lex,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,Resiliencia operacional y pruebas en entidades financieras.
REF-035,standard,2026,Bitcoin Improvement Proposals,BIP-32: Hierarchical Deterministic Wallets,Bitcoin BIPs,https://github.com/bitcoin/bips/blob/master/bip-0032.mediawiki,Derivación jerárquica de claves.
REF-036,standard,2026,Bitcoin Improvement Proposals,BIP-39: Mnemonic code for generating deterministic keys,Bitcoin BIPs,https://github.com/bitcoin/bips/blob/master/bip-0039.mediawiki,Frases mnemónicas y generación de seeds.
REF-037,standard,2026,Ethereum Improvement Proposals,EIP-712: Typed structured data hashing and signing,Ethereum EIPs,https://eips.ethereum.org/EIPS/eip-712,Firmas estructuradas y presentación de intención.
REF-038,standard,2026,Ethereum Improvement Proposals,ERC-1967: Proxy Storage Slots,Ethereum EIPs,https://eips.ethereum.org/EIPS/eip-1967,Almacenamiento y proxies actualizables.
REF-039,paper,2008,Satoshi Nakamoto,Bitcoin: A Peer-to-Peer Electronic Cash System,Bitcoin.org,https://bitcoin.org/bitcoin.pdf,Modelo base de consenso y pagos digitales.
REF-040,specification,2026,Gavin Wood et al.,Ethereum Yellow Paper,Ethereum,https://ethereum.github.io/yellowpaper/paper.pdf,Semántica formal del EVM y protocolo Ethereum.
