id,domain_code,title_es,description,assets_at_risk,aadapt_tactics,default_impact,status
CSPTF-THRT-SCT-005,SCT,Bloqueo permanente o agotamiento de gas,"Actor externo, interno o automatizado intenta provocar bloqueo permanente o agotamiento de gas para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",código fuente; bytecode; ABI; proxy,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-DAP-001,DAP,Manipulación de interfaz para desviar fondos,"Actor externo, interno o automatizado intenta provocar manipulación de interfaz para desviar fondos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",frontend; backend BFF; wallet connectors; sesiones,Initial Access; Execution; Credential Access; Collection; Fraud,4,draft
CSPTF-THRT-DAP-002,DAP,Firma engañosa o autorización excesiva,"Actor externo, interno o automatizado intenta provocar firma engañosa o autorización excesiva para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",frontend; backend BFF; wallet connectors; sesiones,Initial Access; Execution; Credential Access; Collection; Fraud,4,draft
CSPTF-THRT-DAP-003,DAP,Secuestro de sesión vinculada a wallet,"Actor externo, interno o automatizado intenta provocar secuestro de sesión vinculada a wallet para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",frontend; backend BFF; wallet connectors; sesiones,Initial Access; Execution; Credential Access; Collection; Fraud,4,draft
CSPTF-THRT-DAP-004,DAP,"Sustitución de RPC, red o contrato","Actor externo, interno o automatizado intenta provocar sustitución de rpc, red o contrato para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",frontend; backend BFF; wallet connectors; sesiones,Initial Access; Execution; Credential Access; Collection; Fraud,3,draft
CSPTF-THRT-DAP-005,DAP,Compromiso de dominio o cadena de distribución,"Actor externo, interno o automatizado intenta provocar compromiso de dominio o cadena de distribución para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",frontend; backend BFF; wallet connectors; sesiones,Initial Access; Execution; Credential Access; Collection; Fraud,3,draft
CSPTF-THRT-TOK-001,TOK,Emisión no autorizada o ilimitada,"Actor externo, interno o automatizado intenta provocar emisión no autorizada o ilimitada para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",token contracts; NFT collections; metadata; minting,Execution; Privilege Escalation; Impact; Fraud,4,draft
CSPTF-THRT-TOK-002,TOK,Robo mediante approval excesivo,"Actor externo, interno o automatizado intenta provocar robo mediante approval excesivo para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",token contracts; NFT collections; metadata; minting,Execution; Privilege Escalation; Impact; Fraud,4,draft
CSPTF-THRT-TOK-003,TOK,Manipulación o desaparición de metadata,"Actor externo, interno o automatizado intenta provocar manipulación o desaparición de metadata para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",token contracts; NFT collections; metadata; minting,Execution; Privilege Escalation; Impact; Fraud,4,draft
CSPTF-THRT-TOK-004,TOK,Incompatibilidad que bloquea activos,"Actor externo, interno o automatizado intenta provocar incompatibilidad que bloquea activos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",token contracts; NFT collections; metadata; minting,Execution; Privilege Escalation; Impact; Fraud,3,draft
CSPTF-THRT-TOK-005,TOK,Duplicación o desanclaje de activo wrapped,"Actor externo, interno o automatizado intenta provocar duplicación o desanclaje de activo wrapped para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",token contracts; NFT collections; metadata; minting,Execution; Privilege Escalation; Impact; Fraud,3,draft
CSPTF-THRT-DEF-001,DEF,Manipulación de precio y extracción de valor,"Actor externo, interno o automatizado intenta provocar manipulación de precio y extracción de valor para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",pools; AMM; lending markets; vaults,Execution; Impact; Fraud,4,draft
CSPTF-THRT-DEF-002,DEF,Insolvencia por liquidaciones fallidas,"Actor externo, interno o automatizado intenta provocar insolvencia por liquidaciones fallidas para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",pools; AMM; lending markets; vaults,Execution; Impact; Fraud,4,draft
CSPTF-THRT-DEF-003,DEF,Ataque de liquidez temporal,"Actor externo, interno o automatizado intenta provocar ataque de liquidez temporal para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",pools; AMM; lending markets; vaults,Execution; Impact; Fraud,4,draft
CSPTF-THRT-DEF-004,DEF,Drenaje por error de contabilidad de shares,"Actor externo, interno o automatizado intenta provocar drenaje por error de contabilidad de shares para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",pools; AMM; lending markets; vaults,Execution; Impact; Fraud,3,draft
CSPTF-THRT-DEF-005,DEF,Captura de gobernanza económica,"Actor externo, interno o automatizado intenta provocar captura de gobernanza económica para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",pools; AMM; lending markets; vaults,Execution; Impact; Fraud,3,draft
CSPTF-THRT-ORA-001,ORA,Manipulación de feed,"Actor externo, interno o automatizado intenta provocar manipulación de feed para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",price feeds; data providers; keepers; relayers,Execution; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-ORA-002,ORA,Uso de datos obsoletos,"Actor externo, interno o automatizado intenta provocar uso de datos obsoletos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",price feeds; data providers; keepers; relayers,Execution; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-ORA-003,ORA,Compromiso de updater o keeper,"Actor externo, interno o automatizado intenta provocar compromiso de updater o keeper para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",price feeds; data providers; keepers; relayers,Execution; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-ORA-004,ORA,Indisponibilidad coordinada de fuentes,"Actor externo, interno o automatizado intenta provocar indisponibilidad coordinada de fuentes para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",price feeds; data providers; keepers; relayers,Execution; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-ORA-005,ORA,Desviación de mercado de referencia,"Actor externo, interno o automatizado intenta provocar desviación de mercado de referencia para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",price feeds; data providers; keepers; relayers,Execution; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-BRG-001,BRG,Falsificación o replay de mensaje cross-chain,"Actor externo, interno o automatizado intenta provocar falsificación o replay de mensaje cross-chain para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",bridge contracts; validators; relayers; light clients,Initial Access; Execution; Credential Access; Impact; Fraud,4,draft
CSPTF-THRT-BRG-002,BRG,Compromiso del quorum de validadores,"Actor externo, interno o automatizado intenta provocar compromiso del quorum de validadores para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",bridge contracts; validators; relayers; light clients,Initial Access; Execution; Credential Access; Impact; Fraud,4,draft
CSPTF-THRT-BRG-003,BRG,Mint sin respaldo o release duplicado,"Actor externo, interno o automatizado intenta provocar mint sin respaldo o release duplicado para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",bridge contracts; validators; relayers; light clients,Initial Access; Execution; Credential Access; Impact; Fraud,4,draft
CSPTF-THRT-BRG-004,BRG,Fallo por reorganización o finalidad,"Actor externo, interno o automatizado intenta provocar fallo por reorganización o finalidad para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",bridge contracts; validators; relayers; light clients,Initial Access; Execution; Credential Access; Impact; Fraud,3,draft
CSPTF-THRT-BRG-005,BRG,Inconsistencia lógica entre cadenas,"Actor externo, interno o automatizado intenta provocar inconsistencia lógica entre cadenas para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",bridge contracts; validators; relayers; light clients,Initial Access; Execution; Credential Access; Impact; Fraud,3,draft
CSPTF-THRT-NET-001,NET,Partición o eclipse de nodos,"Actor externo, interno o automatizado intenta provocar partición o eclipse de nodos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",validators; full nodes; consensus clients; execution clients,Resource Development; Initial Access; Execution; Lateral Movement; Impact,4,draft
CSPTF-THRT-NET-002,NET,Compromiso de validador,"Actor externo, interno o automatizado intenta provocar compromiso de validador para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",validators; full nodes; consensus clients; execution clients,Resource Development; Initial Access; Execution; Lateral Movement; Impact,4,draft
CSPTF-THRT-NET-003,NET,Double signing o slashing,"Actor externo, interno o automatizado intenta provocar double signing o slashing para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",validators; full nodes; consensus clients; execution clients,Resource Development; Initial Access; Execution; Lateral Movement; Impact,4,draft
CSPTF-THRT-NET-004,NET,Explotación de cliente dominante,"Actor externo, interno o automatizado intenta provocar explotación de cliente dominante para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",validators; full nodes; consensus clients; execution clients,Resource Development; Initial Access; Execution; Lateral Movement; Impact,3,draft
CSPTF-THRT-NET-005,NET,Agotamiento de recursos P2P,"Actor externo, interno o automatizado intenta provocar agotamiento de recursos p2p para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",validators; full nodes; consensus clients; execution clients,Resource Development; Initial Access; Execution; Lateral Movement; Impact,3,draft
CSPTF-THRT-L2-001,L2,Prueba inválida aceptada,"Actor externo, interno o automatizado intenta provocar prueba inválida aceptada para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",sequencers; provers; verifiers; data availability,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-L2-002,L2,Censura o indisponibilidad del secuenciador,"Actor externo, interno o automatizado intenta provocar censura o indisponibilidad del secuenciador para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",sequencers; provers; verifiers; data availability,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-L2-003,L2,Pérdida de disponibilidad de datos,"Actor externo, interno o automatizado intenta provocar pérdida de disponibilidad de datos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",sequencers; provers; verifiers; data availability,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-L2-004,L2,Fraude en puente canónico,"Actor externo, interno o automatizado intenta provocar fraude en puente canónico para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",sequencers; provers; verifiers; data availability,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-L2-005,L2,Actualización administrativa maliciosa,"Actor externo, interno o automatizado intenta provocar actualización administrativa maliciosa para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",sequencers; provers; verifiers; data availability,Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-CEX-001,CEX,Toma de cuenta y retiro fraudulento,"Actor externo, interno o automatizado intenta provocar toma de cuenta y retiro fraudulento para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",accounts; matching engine; OMS; deposit services,Initial Access; Credential Access; Lateral Movement; Collection; Impact; Fraud,4,draft
CSPTF-THRT-CEX-002,CEX,Manipulación o pérdida de órdenes,"Actor externo, interno o automatizado intenta provocar manipulación o pérdida de órdenes para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",accounts; matching engine; OMS; deposit services,Initial Access; Credential Access; Lateral Movement; Collection; Impact; Fraud,4,draft
CSPTF-THRT-CEX-003,CEX,Atribución incorrecta de depósitos,"Actor externo, interno o automatizado intenta provocar atribución incorrecta de depósitos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",accounts; matching engine; OMS; deposit services,Initial Access; Credential Access; Lateral Movement; Collection; Impact; Fraud,4,draft
CSPTF-THRT-CEX-004,CEX,Abuso interno de tesorería,"Actor externo, interno o automatizado intenta provocar abuso interno de tesorería para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",accounts; matching engine; OMS; deposit services,Initial Access; Credential Access; Lateral Movement; Collection; Impact; Fraud,3,draft
CSPTF-THRT-CEX-005,CEX,Descuadre entre reservas y pasivos,"Actor externo, interno o automatizado intenta provocar descuadre entre reservas y pasivos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",accounts; matching engine; OMS; deposit services,Initial Access; Credential Access; Lateral Movement; Collection; Impact; Fraud,3,draft
CSPTF-THRT-API-001,API,Abuso de método RPC administrativo,"Actor externo, interno o automatizado intenta provocar abuso de método rpc administrativo para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",REST APIs; GraphQL; JSON-RPC; WebSocket,Reconnaissance; Initial Access; Execution; Credential Access; Collection; Impact,4,draft
CSPTF-THRT-API-002,API,Acceso no autorizado a objetos,"Actor externo, interno o automatizado intenta provocar acceso no autorizado a objetos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",REST APIs; GraphQL; JSON-RPC; WebSocket,Reconnaissance; Initial Access; Execution; Credential Access; Collection; Impact,4,draft
CSPTF-THRT-API-003,API,Exfiltración de datos por API,"Actor externo, interno o automatizado intenta provocar exfiltración de datos por api para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",REST APIs; GraphQL; JSON-RPC; WebSocket,Reconnaissance; Initial Access; Execution; Credential Access; Collection; Impact,4,draft
CSPTF-THRT-API-004,API,Agotamiento de cuota o recursos,"Actor externo, interno o automatizado intenta provocar agotamiento de cuota o recursos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",REST APIs; GraphQL; JSON-RPC; WebSocket,Reconnaissance; Initial Access; Execution; Credential Access; Collection; Impact,3,draft
CSPTF-THRT-API-005,API,Falsificación de webhook o evento,"Actor externo, interno o automatizado intenta provocar falsificación de webhook o evento para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",REST APIs; GraphQL; JSON-RPC; WebSocket,Reconnaissance; Initial Access; Execution; Credential Access; Collection; Impact,3,draft
CSPTF-THRT-INF-001,INF,Compromiso de pipeline de despliegue,"Actor externo, interno o automatizado intenta provocar compromiso de pipeline de despliegue para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",cloud accounts; Kubernetes; containers; CI/CD,Initial Access; Execution; Privilege Escalation; Credential Access; Lateral Movement; Impact,4,draft
CSPTF-THRT-INF-002,INF,Exposición de secreto de producción,"Actor externo, interno o automatizado intenta provocar exposición de secreto de producción para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",cloud accounts; Kubernetes; containers; CI/CD,Initial Access; Execution; Privilege Escalation; Credential Access; Lateral Movement; Impact,4,draft
CSPTF-THRT-INF-003,INF,Escape o abuso de contenedor,"Actor externo, interno o automatizado intenta provocar escape o abuso de contenedor para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",cloud accounts; Kubernetes; containers; CI/CD,Initial Access; Execution; Privilege Escalation; Credential Access; Lateral Movement; Impact,4,draft
CSPTF-THRT-INF-004,INF,Toma de cuenta cloud privilegiada,"Actor externo, interno o automatizado intenta provocar toma de cuenta cloud privilegiada para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",cloud accounts; Kubernetes; containers; CI/CD,Initial Access; Execution; Privilege Escalation; Credential Access; Lateral Movement; Impact,3,draft
CSPTF-THRT-INF-005,INF,Pérdida de infraestructura sin recuperación,"Actor externo, interno o automatizado intenta provocar pérdida de infraestructura sin recuperación para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",cloud accounts; Kubernetes; containers; CI/CD,Initial Access; Execution; Privilege Escalation; Credential Access; Lateral Movement; Impact,3,draft
CSPTF-THRT-IAM-001,IAM,Abuso de administrador o firmante,"Actor externo, interno o automatizado intenta provocar abuso de administrador o firmante para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",workforce identities; service accounts; PAM; break-glass accounts,Initial Access; Privilege Escalation; Credential Access; Lateral Movement; Collection; Fraud,4,draft
CSPTF-THRT-IAM-002,IAM,Toma de cuenta privilegiada,"Actor externo, interno o automatizado intenta provocar toma de cuenta privilegiada para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",workforce identities; service accounts; PAM; break-glass accounts,Initial Access; Privilege Escalation; Credential Access; Lateral Movement; Collection; Fraud,4,draft
CSPTF-THRT-IAM-003,IAM,Persistencia de excolaborador o tercero,"Actor externo, interno o automatizado intenta provocar persistencia de excolaborador o tercero para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",workforce identities; service accounts; PAM; break-glass accounts,Initial Access; Privilege Escalation; Credential Access; Lateral Movement; Collection; Fraud,4,draft
CSPTF-THRT-IAM-004,IAM,Colusión entre funciones críticas,"Actor externo, interno o automatizado intenta provocar colusión entre funciones críticas para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",workforce identities; service accounts; PAM; break-glass accounts,Initial Access; Privilege Escalation; Credential Access; Lateral Movement; Collection; Fraud,3,draft
CSPTF-THRT-IAM-005,IAM,Uso no autorizado de identidad de máquina,"Actor externo, interno o automatizado intenta provocar uso no autorizado de identidad de máquina para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",workforce identities; service accounts; PAM; break-glass accounts,Initial Access; Privilege Escalation; Credential Access; Lateral Movement; Collection; Fraud,3,draft
CSPTF-THRT-SUP-001,SUP,Paquete o dependencia maliciosa,"Actor externo, interno o automatizado intenta provocar paquete o dependencia maliciosa para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",source repositories; dependencies; package registries; compilers,Resource Development; Initial Access; Execution; Defense Evasion; Impact,4,draft
CSPTF-THRT-SUP-002,SUP,Compromiso de repositorio o maintainer,"Actor externo, interno o automatizado intenta provocar compromiso de repositorio o maintainer para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",source repositories; dependencies; package registries; compilers,Resource Development; Initial Access; Execution; Defense Evasion; Impact,4,draft
CSPTF-THRT-SUP-003,SUP,Manipulación del pipeline de build,"Actor externo, interno o automatizado intenta provocar manipulación del pipeline de build para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",source repositories; dependencies; package registries; compilers,Resource Development; Initial Access; Execution; Defense Evasion; Impact,4,draft
CSPTF-THRT-SUP-004,SUP,Firmware o dispositivo adulterado,"Actor externo, interno o automatizado intenta provocar firmware o dispositivo adulterado para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",source repositories; dependencies; package registries; compilers,Resource Development; Initial Access; Execution; Defense Evasion; Impact,3,draft
CSPTF-THRT-SUP-005,SUP,Actualización comprometida distribuida,"Actor externo, interno o automatizado intenta provocar actualización comprometida distribuida para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",source repositories; dependencies; package registries; compilers,Resource Development; Initial Access; Execution; Defense Evasion; Impact,3,draft
CSPTF-THRT-REG-001,REG,Exposición de datos KYC,"Actor externo, interno o automatizado intenta provocar exposición de datos kyc para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",PII; KYC records; transaction monitoring; sanctions screening,Collection; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-REG-002,REG,Evasión de monitoreo transaccional,"Actor externo, interno o automatizado intenta provocar evasión de monitoreo transaccional para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",PII; KYC records; transaction monitoring; sanctions screening,Collection; Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-REG-003,REG,Transferencia regulada sin datos requeridos,"Actor externo, interno o automatizado intenta provocar transferencia regulada sin datos requeridos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",PII; KYC records; transaction monitoring; sanctions screening,Collection; Defense Evasion; Impact; Fraud,4,draft
