id,domain_id,domain_code,title_es,title_en,objective,requirement,minimum_profile,evidence,owner_examples,aadapt_tactics,nist_csf2,owasp_alignment,status
CSPTF-CTRL-ARC-007,CSPTF-DOM-02,ARC,Degradación segura y circuit breakers,,"Asegurar que degradación segura y circuit breakers se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar degradación segura y circuit breakers, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con degradación segura y circuit breakers.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
CSPTF-CTRL-ARC-008,CSPTF-DOM-02,ARC,Análisis de composabilidad y dependencias,,"Asegurar que análisis de composabilidad y dependencias se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar análisis de composabilidad y dependencias, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP4,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con análisis de composabilidad y dependencias.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,GV; ID; PR,SCSTG architecture and threat modeling; SCSVS architecture,draft
CSPTF-CTRL-CRY-001,CSPTF-DOM-03,CRY,Primitivas y parámetros aprobados,,"Asegurar que primitivas y parámetros aprobados se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar primitivas y parámetros aprobados, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con primitivas y parámetros aprobados.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-CRY-002,CSPTF-DOM-03,CRY,Generación de entropía y aleatoriedad,,"Asegurar que generación de entropía y aleatoriedad se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar generación de entropía y aleatoriedad, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con generación de entropía y aleatoriedad.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-CRY-003,CSPTF-DOM-03,CRY,Gestión segura de nonces,,"Asegurar que gestión segura de nonces se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar gestión segura de nonces, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con gestión segura de nonces.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-CRY-004,CSPTF-DOM-03,CRY,Validación canónica de firmas,,"Asegurar que validación canónica de firmas se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar validación canónica de firmas, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con validación canónica de firmas.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-CRY-005,CSPTF-DOM-03,CRY,Separación de dominios criptográficos,,"Asegurar que separación de dominios criptográficos se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar separación de dominios criptográficos, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con separación de dominios criptográficos.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-CRY-006,CSPTF-DOM-03,CRY,Protección contra replay y malleability,,"Asegurar que protección contra replay y malleability se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar protección contra replay y malleability, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con protección contra replay y malleability.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-CRY-007,CSPTF-DOM-03,CRY,Agilidad y migración criptográfica,,"Asegurar que agilidad y migración criptográfica se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar agilidad y migración criptográfica, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con agilidad y migración criptográfica.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-CRY-008,CSPTF-DOM-03,CRY,Verificación de implementaciones y bibliotecas,,"Asegurar que verificación de implementaciones y bibliotecas se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar verificación de implementaciones y bibliotecas, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP4,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con verificación de implementaciones y bibliotecas.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Execution; Defense Evasion; Impact; Fraud,PR,SCSTG cryptography; SCSVS cryptography,draft
CSPTF-CTRL-KEY-001,CSPTF-DOM-04,KEY,Ceremonias de generación y respaldo,,"Asegurar que ceremonias de generación y respaldo se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar ceremonias de generación y respaldo, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con ceremonias de generación y respaldo.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-KEY-002,CSPTF-DOM-04,KEY,Custodia segregada por propósito,,"Asegurar que custodia segregada por propósito se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar custodia segregada por propósito, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con custodia segregada por propósito.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-KEY-003,CSPTF-DOM-04,KEY,Políticas de firma y límites,,"Asegurar que políticas de firma y límites se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar políticas de firma y límites, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con políticas de firma y límites.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-KEY-004,CSPTF-DOM-04,KEY,"MPC, multisig y quorum",,"Asegurar que mpc, multisig y quorum se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar mpc, multisig y quorum, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,"Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con mpc, multisig y quorum.","Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-KEY-005,CSPTF-DOM-04,KEY,Protección de hot wallets,,"Asegurar que protección de hot wallets se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar protección de hot wallets, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con protección de hot wallets.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-KEY-006,CSPTF-DOM-04,KEY,Cold storage y movimiento controlado,,"Asegurar que cold storage y movimiento controlado se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar cold storage y movimiento controlado, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con cold storage y movimiento controlado.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-KEY-007,CSPTF-DOM-04,KEY,"Rotación, recuperación y destrucción",,"Asegurar que rotación, recuperación y destrucción se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar rotación, recuperación y destrucción, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,"Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con rotación, recuperación y destrucción.","Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-KEY-008,CSPTF-DOM-04,KEY,Monitoreo y respuesta ante compromiso,,"Asegurar que monitoreo y respuesta ante compromiso se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar monitoreo y respuesta ante compromiso, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP4,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con monitoreo y respuesta ante compromiso.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Credential Access; Collection; Defense Evasion; Impact; Fraud,PR; DE; RS,SCSTG authentication and authorization; SCSVS access control,draft
CSPTF-CTRL-SCT-001,CSPTF-DOM-05,SCT,Trazabilidad fuente-bytecode,,"Asegurar que trazabilidad fuente-bytecode se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar trazabilidad fuente-bytecode, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con trazabilidad fuente-bytecode.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,draft
CSPTF-CTRL-SCT-002,CSPTF-DOM-05,SCT,Control de acceso y privilegios,,"Asegurar que control de acceso y privilegios se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar control de acceso y privilegios, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP1,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con control de acceso y privilegios.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,draft
CSPTF-CTRL-SCT-003,CSPTF-DOM-05,SCT,Manejo seguro de llamadas externas,,"Asegurar que manejo seguro de llamadas externas se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar manejo seguro de llamadas externas, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con manejo seguro de llamadas externas.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,draft
CSPTF-CTRL-SCT-004,CSPTF-DOM-05,SCT,Invariantes y contabilidad interna,,"Asegurar que invariantes y contabilidad interna se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar invariantes y contabilidad interna, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con invariantes y contabilidad interna.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,draft
CSPTF-CTRL-SCT-005,CSPTF-DOM-05,SCT,Actualización y almacenamiento seguro,,"Asegurar que actualización y almacenamiento seguro se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar actualización y almacenamiento seguro, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP2,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con actualización y almacenamiento seguro.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,draft
CSPTF-CTRL-SCT-006,CSPTF-DOM-05,SCT,Resistencia a DoS y consumo de gas,,"Asegurar que resistencia a dos y consumo de gas se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar resistencia a dos y consumo de gas, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con resistencia a dos y consumo de gas.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,draft
CSPTF-CTRL-SCT-007,CSPTF-DOM-05,SCT,Validación de entradas y estados,,"Asegurar que validación de entradas y estados se diseñe, implemente, opere y evidencie de forma proporcional al riesgo del ecosistema de activos digitales.","La organización DEBE definir, aprobar, implementar, monitorear y revisar validación de entradas y estados, manteniendo evidencia trazable y excepciones formalmente aceptadas.",AP3,Política o diseño aprobado; configuración o artefacto técnico; registro operativo; evidencia de revisión; prueba de eficacia relacionada con validación de entradas y estados.,"Seguridad; Ingeniería; Operaciones; Riesgo; Cumplimiento, según el control.",Execution; Privilege Escalation; Defense Evasion; Impact; Fraud,ID; PR; DE,SCSTG test catalog; SCSVS requirements; SCWE weaknesses,draft
