id,domain_code,title_es,description,likely_consequence,recommended_action,status
CSPTF-WEAK-CRY-001,CRY,Entropía insuficiente,"Condición de diseño, implementación u operación caracterizada por entropía insuficiente, capaz de facilitar amenazas del dominio CRY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CRY-002,CRY,Dominio de firma ambiguo,"Condición de diseño, implementación u operación caracterizada por dominio de firma ambiguo, capaz de facilitar amenazas del dominio CRY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CRY-003,CRY,Parámetros obsoletos,"Condición de diseño, implementación u operación caracterizada por parámetros obsoletos, capaz de facilitar amenazas del dominio CRY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CRY-004,CRY,Comparaciones no constantes,"Condición de diseño, implementación u operación caracterizada por comparaciones no constantes, capaz de facilitar amenazas del dominio CRY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CRY-005,CRY,Manejo incorrecto de serialización,"Condición de diseño, implementación u operación caracterizada por manejo incorrecto de serialización, capaz de facilitar amenazas del dominio CRY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-KEY-001,KEY,Seeds sin protección suficiente,"Condición de diseño, implementación u operación caracterizada por seeds sin protección suficiente, capaz de facilitar amenazas del dominio KEY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-KEY-002,KEY,Quorum mal configurado,"Condición de diseño, implementación u operación caracterizada por quorum mal configurado, capaz de facilitar amenazas del dominio KEY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-KEY-003,KEY,Límites de firma ausentes,"Condición de diseño, implementación u operación caracterizada por límites de firma ausentes, capaz de facilitar amenazas del dominio KEY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-KEY-004,KEY,Recuperación no ensayada,"Condición de diseño, implementación u operación caracterizada por recuperación no ensayada, capaz de facilitar amenazas del dominio KEY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-KEY-005,KEY,Segregación de wallets insuficiente,"Condición de diseño, implementación u operación caracterizada por segregación de wallets insuficiente, capaz de facilitar amenazas del dominio KEY.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-SCT-001,SCT,Control de acceso incompleto,"Condición de diseño, implementación u operación caracterizada por control de acceso incompleto, capaz de facilitar amenazas del dominio SCT.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-SCT-002,SCT,Checks-effects-interactions incumplido,"Condición de diseño, implementación u operación caracterizada por checks-effects-interactions incumplido, capaz de facilitar amenazas del dominio SCT.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-SCT-003,SCT,Aritmética o precisión incorrecta,"Condición de diseño, implementación u operación caracterizada por aritmética o precisión incorrecta, capaz de facilitar amenazas del dominio SCT.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-SCT-004,SCT,Upgrade inseguro,"Condición de diseño, implementación u operación caracterizada por upgrade inseguro, capaz de facilitar amenazas del dominio SCT.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-SCT-005,SCT,Cobertura de pruebas insuficiente,"Condición de diseño, implementación u operación caracterizada por cobertura de pruebas insuficiente, capaz de facilitar amenazas del dominio SCT.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DAP-001,DAP,Firmas ciegas,"Condición de diseño, implementación u operación caracterizada por firmas ciegas, capaz de facilitar amenazas del dominio DAP.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DAP-002,DAP,Chain ID no validado,"Condición de diseño, implementación u operación caracterizada por chain id no validado, capaz de facilitar amenazas del dominio DAP.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DAP-003,DAP,Sesiones no ligadas al firmante,"Condición de diseño, implementación u operación caracterizada por sesiones no ligadas al firmante, capaz de facilitar amenazas del dominio DAP.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DAP-004,DAP,Dependencias remotas sin integridad,"Condición de diseño, implementación u operación caracterizada por dependencias remotas sin integridad, capaz de facilitar amenazas del dominio DAP.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DAP-005,DAP,Mensajes de riesgo poco comprensibles,"Condición de diseño, implementación u operación caracterizada por mensajes de riesgo poco comprensibles, capaz de facilitar amenazas del dominio DAP.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-TOK-001,TOK,Supply no acotado,"Condición de diseño, implementación u operación caracterizada por supply no acotado, capaz de facilitar amenazas del dominio TOK.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-TOK-002,TOK,Metadata centralizada y mutable,"Condición de diseño, implementación u operación caracterizada por metadata centralizada y mutable, capaz de facilitar amenazas del dominio TOK.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-TOK-003,TOK,Hooks no confiables,"Condición de diseño, implementación u operación caracterizada por hooks no confiables, capaz de facilitar amenazas del dominio TOK.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-TOK-004,TOK,Permisos de minter excesivos,"Condición de diseño, implementación u operación caracterizada por permisos de minter excesivos, capaz de facilitar amenazas del dominio TOK.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-TOK-005,TOK,Semántica de transferencia no estándar,"Condición de diseño, implementación u operación caracterizada por semántica de transferencia no estándar, capaz de facilitar amenazas del dominio TOK.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DEF-001,DEF,Oráculo poco robusto,"Condición de diseño, implementación u operación caracterizada por oráculo poco robusto, capaz de facilitar amenazas del dominio DEF.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DEF-002,DEF,Caps inexistentes,"Condición de diseño, implementación u operación caracterizada por caps inexistentes, capaz de facilitar amenazas del dominio DEF.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DEF-003,DEF,Supuestos de liquidez irreales,"Condición de diseño, implementación u operación caracterizada por supuestos de liquidez irreales, capaz de facilitar amenazas del dominio DEF.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DEF-004,DEF,Redondeo acumulativo,"Condición de diseño, implementación u operación caracterizada por redondeo acumulativo, capaz de facilitar amenazas del dominio DEF.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-DEF-005,DEF,Dependencia de una sola ruta de liquidación,"Condición de diseño, implementación u operación caracterizada por dependencia de una sola ruta de liquidación, capaz de facilitar amenazas del dominio DEF.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ORA-001,ORA,Fuente única,"Condición de diseño, implementación u operación caracterizada por fuente única, capaz de facilitar amenazas del dominio ORA.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ORA-002,ORA,Staleness no controlado,"Condición de diseño, implementación u operación caracterizada por staleness no controlado, capaz de facilitar amenazas del dominio ORA.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ORA-003,ORA,Agregación débil,"Condición de diseño, implementación u operación caracterizada por agregación débil, capaz de facilitar amenazas del dominio ORA.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ORA-004,ORA,Fallback inseguro,"Condición de diseño, implementación u operación caracterizada por fallback inseguro, capaz de facilitar amenazas del dominio ORA.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-ORA-005,ORA,Límites de precio ausentes,"Condición de diseño, implementación u operación caracterizada por límites de precio ausentes, capaz de facilitar amenazas del dominio ORA.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-BRG-001,BRG,Dominio de mensaje ambiguo,"Condición de diseño, implementación u operación caracterizada por dominio de mensaje ambiguo, capaz de facilitar amenazas del dominio BRG.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-BRG-002,BRG,Quorum concentrado,"Condición de diseño, implementación u operación caracterizada por quorum concentrado, capaz de facilitar amenazas del dominio BRG.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-BRG-003,BRG,Reconciliación insuficiente,"Condición de diseño, implementación u operación caracterizada por reconciliación insuficiente, capaz de facilitar amenazas del dominio BRG.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-BRG-004,BRG,Finalidad asumida incorrectamente,"Condición de diseño, implementación u operación caracterizada por finalidad asumida incorrectamente, capaz de facilitar amenazas del dominio BRG.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-BRG-005,BRG,Rate limits ausentes,"Condición de diseño, implementación u operación caracterizada por rate limits ausentes, capaz de facilitar amenazas del dominio BRG.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-NET-001,NET,Puertos administrativos expuestos,"Condición de diseño, implementación u operación caracterizada por puertos administrativos expuestos, capaz de facilitar amenazas del dominio NET.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-NET-002,NET,Clientes sin diversidad,"Condición de diseño, implementación u operación caracterizada por clientes sin diversidad, capaz de facilitar amenazas del dominio NET.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-NET-003,NET,Protección anti-slashing insuficiente,"Condición de diseño, implementación u operación caracterizada por protección anti-slashing insuficiente, capaz de facilitar amenazas del dominio NET.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-NET-004,NET,Peer management débil,"Condición de diseño, implementación u operación caracterizada por peer management débil, capaz de facilitar amenazas del dominio NET.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-NET-005,NET,Recuperación de estado no probada,"Condición de diseño, implementación u operación caracterizada por recuperación de estado no probada, capaz de facilitar amenazas del dominio NET.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-L2-001,L2,Escape hatch no probado,"Condición de diseño, implementación u operación caracterizada por escape hatch no probado, capaz de facilitar amenazas del dominio L2.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-L2-002,L2,DA centralizada,"Condición de diseño, implementación u operación caracterizada por da centralizada, capaz de facilitar amenazas del dominio L2.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-L2-003,L2,Timelock insuficiente,"Condición de diseño, implementación u operación caracterizada por timelock insuficiente, capaz de facilitar amenazas del dominio L2.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-L2-004,L2,Dependencia de un solo prover,"Condición de diseño, implementación u operación caracterizada por dependencia de un solo prover, capaz de facilitar amenazas del dominio L2.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-L2-005,L2,Monitoreo de discrepancias ausente,"Condición de diseño, implementación u operación caracterizada por monitoreo de discrepancias ausente, capaz de facilitar amenazas del dominio L2.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CEX-001,CEX,Recuperación de cuenta débil,"Condición de diseño, implementación u operación caracterizada por recuperación de cuenta débil, capaz de facilitar amenazas del dominio CEX.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CEX-002,CEX,Idempotencia insuficiente,"Condición de diseño, implementación u operación caracterizada por idempotencia insuficiente, capaz de facilitar amenazas del dominio CEX.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CEX-003,CEX,Límites de retiro inadecuados,"Condición de diseño, implementación u operación caracterizada por límites de retiro inadecuados, capaz de facilitar amenazas del dominio CEX.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CEX-004,CEX,Reconciliación tardía,"Condición de diseño, implementación u operación caracterizada por reconciliación tardía, capaz de facilitar amenazas del dominio CEX.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-CEX-005,CEX,Segregación de funciones deficiente,"Condición de diseño, implementación u operación caracterizada por segregación de funciones deficiente, capaz de facilitar amenazas del dominio CEX.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-API-001,API,API keys de larga duración,"Condición de diseño, implementación u operación caracterizada por api keys de larga duración, capaz de facilitar amenazas del dominio API.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-API-002,API,Autorización a nivel objeto ausente,"Condición de diseño, implementación u operación caracterizada por autorización a nivel objeto ausente, capaz de facilitar amenazas del dominio API.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-API-003,API,RPC administrativo expuesto,"Condición de diseño, implementación u operación caracterizada por rpc administrativo expuesto, capaz de facilitar amenazas del dominio API.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-API-004,API,Rate limits inconsistentes,"Condición de diseño, implementación u operación caracterizada por rate limits inconsistentes, capaz de facilitar amenazas del dominio API.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-API-005,API,Errores excesivamente informativos,"Condición de diseño, implementación u operación caracterizada por errores excesivamente informativos, capaz de facilitar amenazas del dominio API.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-INF-001,INF,Roles cloud excesivos,"Condición de diseño, implementación u operación caracterizada por roles cloud excesivos, capaz de facilitar amenazas del dominio INF.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
CSPTF-WEAK-INF-002,INF,Secretos en variables o repositorios,"Condición de diseño, implementación u operación caracterizada por secretos en variables o repositorios, capaz de facilitar amenazas del dominio INF.","Pérdida de confidencialidad, integridad, disponibilidad, control, solvencia o confianza; el impacto exacto depende del flujo de valor y la irreversibilidad.","Corregir la causa raíz, añadir evidencia automatizable y realizar retest independiente proporcional a criticidad.",draft
