id,domain_code,title_es,minimum_profile,related_controls,status,result,evidence_id,finding_id,notes
CSPTF-TEST-REG-003,REG,Validar minimización y propósito,AP1,CSPTF-CTRL-REG-002,draft,not-tested,,,
CSPTF-TEST-REG-004,REG,Evaluar protección de datos KYC,AP2,CSPTF-CTRL-REG-002,draft,not-tested,,,
CSPTF-TEST-REG-005,REG,Comprobar controles AML y KYT,AP2,CSPTF-CTRL-REG-003,draft,not-tested,,,
CSPTF-TEST-REG-006,REG,Revisar screening y manejo de falsos positivos,AP2,CSPTF-CTRL-REG-003,draft,not-tested,,,
CSPTF-TEST-REG-007,REG,Validar Travel Rule y transferencias,AP2,CSPTF-CTRL-REG-004,draft,not-tested,,,
CSPTF-TEST-MON-001,MON,Mapear telemetría a activos y amenazas,AP1,CSPTF-CTRL-MON-001,draft,not-tested,,,
CSPTF-TEST-MON-002,MON,"Validar fuentes, integridad y retención de logs",AP1,CSPTF-CTRL-MON-001,draft,not-tested,,,
CSPTF-TEST-MON-003,MON,Comprobar sincronización temporal,AP1,CSPTF-CTRL-MON-002,draft,not-tested,,,
CSPTF-TEST-MON-004,MON,Evaluar eventos de contratos y nodos,AP2,CSPTF-CTRL-MON-002,draft,not-tested,,,
CSPTF-TEST-MON-005,MON,Revisar monitoreo de wallets críticas,AP2,CSPTF-CTRL-MON-003,draft,not-tested,,,
CSPTF-TEST-MON-006,MON,Probar detecciones de cambios administrativos,AP2,CSPTF-CTRL-MON-003,draft,not-tested,,,
CSPTF-TEST-MON-007,MON,Evaluar reglas de fraude y anomalías,AP2,CSPTF-CTRL-MON-004,draft,not-tested,,,
CSPTF-TEST-IRR-001,IRR,Revisar playbooks por escenario,AP1,CSPTF-CTRL-IRR-001,draft,not-tested,,,
CSPTF-TEST-IRR-002,IRR,"Validar contactos, roles y autoridad",AP1,CSPTF-CTRL-IRR-001,draft,not-tested,,,
CSPTF-TEST-IRR-003,IRR,Comprobar mecanismos de pausa y contención,AP1,CSPTF-CTRL-IRR-002,draft,not-tested,,,
CSPTF-TEST-IRR-004,IRR,Evaluar preservación de evidencia,AP2,CSPTF-CTRL-IRR-002,draft,not-tested,,,
CSPTF-TEST-IRR-005,IRR,Simular compromiso de clave,AP2,CSPTF-CTRL-IRR-003,draft,not-tested,,,
CSPTF-TEST-IRR-006,IRR,Simular exploit de contrato o bridge,AP2,CSPTF-CTRL-IRR-003,draft,not-tested,,,
CSPTF-TEST-IRR-007,IRR,Validar restauración de servicios,AP2,CSPTF-CTRL-IRR-004,draft,not-tested,,,
